"","state","state_name","year","sce","shares","category"
"311","NJ","New Jersey",2011,"Historical",0.02909543,"d1"
"312","NJ","New Jersey",2011,"Historical",0.04627964,"d2"
"313","NJ","New Jersey",2011,"Historical",0.05734059,"d3"
"314","NJ","New Jersey",2011,"Historical",0.06738858,"d4"
"315","NJ","New Jersey",2011,"Historical",0.0776118,"d5"
"316","NJ","New Jersey",2011,"Historical",0.08897658,"d6"
"317","NJ","New Jersey",2011,"Historical",0.1027171,"d7"
"318","NJ","New Jersey",2011,"Historical",0.1210628,"d8"
"319","NJ","New Jersey",2011,"Historical",0.1502664,"d9"
"320","NJ","New Jersey",2011,"Historical",0.2590968,"d10"
"321","NM","New Mexico",2011,"Historical",0.03193419,"d1"
"322","NM","New Mexico",2011,"Historical",0.0500605,"d2"
"323","NM","New Mexico",2011,"Historical",0.06138535,"d3"
"324","NM","New Mexico",2011,"Historical",0.071449,"d4"
"325","NM","New Mexico",2011,"Historical",0.0815044,"d5"
"326","NM","New Mexico",2011,"Historical",0.09249632,"d6"
"327","NM","New Mexico",2011,"Historical",0.1055074,"d7"
"328","NM","New Mexico",2011,"Historical",0.1224629,"d8"
"329","NM","New Mexico",2011,"Historical",0.1485238,"d9"
"330","NM","New Mexico",2011,"Historical",0.234253,"d10"
"331","NV","Nevada",2011,"Historical",0.03200285,"d1"
"332","NV","Nevada",2011,"Historical",0.05015194,"d2"
"333","NV","Nevada",2011,"Historical",0.06148317,"d3"
"334","NV","Nevada",2011,"Historical",0.0715472,"d4"
"335","NV","Nevada",2011,"Historical",0.08159854,"d5"
"336","NV","Nevada",2011,"Historical",0.09258144,"d6"
"337","NV","Nevada",2011,"Historical",0.1055749,"d7"
"338","NV","Nevada",2011,"Historical",0.1224968,"d8"
"339","NV","Nevada",2011,"Historical",0.1484816,"d9"
"340","NV","Nevada",2011,"Historical",0.2336521,"d10"
"341","NY","New York",2011,"Historical",0.02851525,"d1"
"342","NY","New York",2011,"Historical",0.04550692,"d2"
"343","NY","New York",2011,"Historical",0.05651394,"d3"
"344","NY","New York",2011,"Historical",0.06655873,"d4"
"345","NY","New York",2011,"Historical",0.07681625,"d5"
"346","NY","New York",2011,"Historical",0.08825723,"d6"
"347","NY","New York",2011,"Historical",0.1021468,"d7"
"348","NY","New York",2011,"Historical",0.1207766,"d8"
"349","NY","New York",2011,"Historical",0.1506226,"d9"
"350","NY","New York",2011,"Historical",0.2641743,"d10"
"351","OH","Ohio",2011,"Historical",0.03248646,"d1"
"352","OH","Ohio",2011,"Historical",0.05079604,"d2"
"353","OH","Ohio",2011,"Historical",0.06217224,"d3"
"354","OH","Ohio",2011,"Historical",0.07223893,"d4"
"355","OH","Ohio",2011,"Historical",0.08226168,"d5"
"356","OH","Ohio",2011,"Historical",0.09318106,"d6"
"357","OH","Ohio",2011,"Historical",0.1060502,"d7"
"358","OH","Ohio",2011,"Historical",0.1227353,"d8"
"359","OH","Ohio",2011,"Historical",0.1481847,"d9"
"360","OH","Ohio",2011,"Historical",0.2294197,"d10"
"361","OK","Oklahoma",2011,"Historical",0.03301263,"d1"
"362","OK","Oklahoma",2011,"Historical",0.05149684,"d2"
"363","OK","Oklahoma",2011,"Historical",0.06292195,"d3"
"364","OK","Oklahoma",2011,"Historical",0.07299155,"d4"
"365","OK","Oklahoma",2011,"Historical",0.08298319,"d5"
"366","OK","Oklahoma",2011,"Historical",0.09383346,"d6"
"367","OK","Oklahoma",2011,"Historical",0.1065674,"d7"
"368","OK","Oklahoma",2011,"Historical",0.1229948,"d8"
"369","OK","Oklahoma",2011,"Historical",0.1478617,"d9"
"370","OK","Oklahoma",2011,"Historical",0.2248148,"d10"
"371","OR","Oregon",2011,"Historical",0.03260448,"d1"
"372","OR","Oregon",2011,"Historical",0.05095323,"d2"
"373","OR","Oregon",2011,"Historical",0.06234039,"d3"
"374","OR","Oregon",2011,"Historical",0.07240774,"d4"
"375","OR","Oregon",2011,"Historical",0.08242351,"d5"
"376","OR","Oregon",2011,"Historical",0.09332739,"d6"
"377","OR","Oregon",2011,"Historical",0.1061662,"d7"
"378","OR","Oregon",2011,"Historical",0.1227935,"d8"
"379","OR","Oregon",2011,"Historical",0.1481123,"d9"
"380","OR","Oregon",2011,"Historical",0.2283869,"d10"
"381","PA","Pennsylvania",2011,"Historical",0.0313153,"d1"
"382","PA","Pennsylvania",2011,"Historical",0.04923622,"d2"
"383","PA","Pennsylvania",2011,"Historical",0.06050354,"d3"
"384","PA","Pennsylvania",2011,"Historical",0.07056377,"d4"
"385","PA","Pennsylvania",2011,"Historical",0.08065576,"d5"
"386","PA","Pennsylvania",2011,"Historical",0.09172897,"d6"
"387","PA","Pennsylvania",2011,"Historical",0.1048991,"d7"
"388","PA","Pennsylvania",2011,"Historical",0.1221577,"d8"
"389","PA","Pennsylvania",2011,"Historical",0.1489037,"d9"
"390","PA","Pennsylvania",2011,"Historical",0.2396693,"d10"
"391","RI","Rhode Island",2011,"Historical",0.03086511,"d1"
"392","RI","Rhode Island",2011,"Historical",0.04863662,"d2"
"393","RI","Rhode Island",2011,"Historical",0.05986209,"d3"
"394","RI","Rhode Island",2011,"Historical",0.06991984,"d4"
"395","RI","Rhode Island",2011,"Historical",0.08003844,"d5"
"396","RI","Rhode Island",2011,"Historical",0.09117078,"d6"
"397","RI","Rhode Island",2011,"Historical",0.1044565,"d7"
"398","RI","Rhode Island",2011,"Historical",0.1219356,"d8"
"399","RI","Rhode Island",2011,"Historical",0.1491801,"d9"
"400","RI","Rhode Island",2011,"Historical",0.2436092,"d10"
"401","SC","South Carolina",2011,"Historical",0.03296764,"d1"
"402","SC","South Carolina",2011,"Historical",0.05143691,"d2"
"403","SC","South Carolina",2011,"Historical",0.06285784,"d3"
"404","SC","South Carolina",2011,"Historical",0.07292718,"d4"
"405","SC","South Carolina",2011,"Historical",0.08292149,"d5"
"406","SC","South Carolina",2011,"Historical",0.09377766,"d6"
"407","SC","South Carolina",2011,"Historical",0.1065232,"d7"
"408","SC","South Carolina",2011,"Historical",0.1229727,"d8"
"409","SC","South Carolina",2011,"Historical",0.1478893,"d9"
"410","SC","South Carolina",2011,"Historical",0.2252086,"d10"
"411","SD","South Dakota",2011,"Historical",0.0337098,"d1"
"412","SD","South Dakota",2011,"Historical",0.05242537,"d2"
"413","SD","South Dakota",2011,"Historical",0.06391529,"d3"
"414","SD","South Dakota",2011,"Historical",0.07398873,"d4"
"415","SD","South Dakota",2011,"Historical",0.08393916,"d5"
"416","SD","South Dakota",2011,"Historical",0.09469786,"d6"
"417","SD","South Dakota",2011,"Historical",0.1072527,"d7"
"418","SD","South Dakota",2011,"Historical",0.1233387,"d8"
"419","SD","South Dakota",2011,"Historical",0.1474337,"d9"
"420","SD","South Dakota",2011,"Historical",0.2187135,"d10"
"421","TN","Tennessee",2011,"Historical",0.0317545,"d1"
"422","TN","Tennessee",2011,"Historical",0.04982117,"d2"
