Source: State of Alaska Geoportal - https://gis.data.alaska.gov/maps/e08c3faedf7842b382f415511402d9d1,,,,,,,,,,
X,Y,OBJECTID,CommunityName,EntityName,ReportingSeason,ReportingDate,ReportingPeriod,ReportingYear,HFRetailGal,AsOfDate
-166.3651123,65.26287842,136,Teller,Teller Native Fuel Business,Summer,2016/07/15 09:00:00+00,July,2016,5.46,2019/02/06 09:00:00+00
-132.5228271,55.68548584,137,Thorne Bay,Petro Marine,Summer,2016/07/15 09:00:00+00,July,2016,2.72,2019/02/06 09:00:00+00
-160.3787842,59.06048584,138,Togiak,Togiak Natives Limited,Summer,2016/07/15 09:00:00+00,July,2016,4.46,2019/02/06 09:00:00+00
-162.6762085,60.34289551,139,Tuntutuliak,Qinarmiut Corporation,Summer,2016/07/15 09:00:00+00,July,2016,4.8,2019/02/06 09:00:00+00
-160.7919922,63.87670898,140,Unalakleet,Unalakleet Native Corporation,Summer,2016/07/15 09:00:00+00,July,2016,4.57,2019/02/06 09:00:00+00
-168.0911865,65.60913086,141,Wales,Wales Native Store,Summer,2016/07/15 09:00:00+00,July,2016,7.21,2019/02/06 09:00:00+00
-163.4104004,64.68127441,142,White Mountain,White Mountain Native Store,Summer,2016/07/15 09:00:00+00,July,2016,4.04,2019/02/06 09:00:00+00
-132.383606,56.47052002,143,Wrangell,Wrangell Oil,Summer,2016/07/15 09:00:00+00,July,2016,2.8,2019/02/06 09:00:00+00
-133.151001,55.47607422,144,Craig,Petro Marine,Winter,2016/01/15 09:00:00+00,Jan,2016,2.94,2019/02/06 09:00:00+00
-141.2075806,64.78887939,145,Eagle,Telegraph Hill Services,Winter,2016/01/15 09:00:00+00,Jan,2016,4.25,2019/02/06 09:00:00+00
-160.7919922,63.87670898,146,Unalakleet,Unalakleet Native Corporation,Winter,2015/01/15 09:00:00+00,Jan,2015,6.98,2019/02/06 09:00:00+00
-156.7609863,71.28948975,147,Utqiagvik,Eskimos Inc.,Winter,2015/01/15 09:00:00+00,Jan,2015,,2019/02/06 09:00:00+00
-146.3551025,61.13031006,148,Valdez,North Pacific,Winter,2015/01/15 09:00:00+00,Jan,2015,3.7,2019/02/06 09:00:00+00
-160.0322266,70.63848877,149,Wainwright,Olgoonik Corporation,Winter,2015/01/15 09:00:00+00,Jan,2015,1.5,2019/02/06 09:00:00+00
-168.0911865,65.60913086,150,Wales,Wales Native Store,Winter,2015/01/15 09:00:00+00,Jan,2015,6.49,2019/02/06 09:00:00+00
-163.4104004,64.68127441,151,White Mountain,White Mountain Native Store,Winter,2015/01/15 09:00:00+00,Jan,2015,4.9,2019/02/06 09:00:00+00
-132.383606,56.47052002,152,Wrangell,Wrangell Oil,Winter,2015/01/15 09:00:00+00,Jan,2015,3.91,2019/02/06 09:00:00+00
