source: https://gis.data.alaska.gov/datasets/a8cb2e38a0ed497e9dc2ead8c27ee6d9_2/,,,
Place,e_Per_Capita_Income,Start_Year,End_Year
Selawik,11878,2008,2012
Seldovia Village,32771,2008,2012
Seldovia,34738,2008,2012
Seward,27332,2008,2012
Shageluk,14923,2008,2012
Shaktoolik,13636,2008,2012
Shishmaref,10831,2008,2012
Shungnak,10567,2008,2012
Silver Springs,36007,2008,2012
Sitka,32162,2008,2012
Skagway,36871,2008,2012
Skwentna,,2008,2012
Slana,15483,2008,2012
Sleetmute,22405,2008,2012
Soldotna,30553,2008,2012
South Naknek,41528,2008,2012
South Van Horn,28535,2008,2012
Saint George,19611,2008,2012
Saint Mary's,18176,2008,2012
Saint Michael,12561,2008,2012
Saint Paul,18393,2008,2012
Stebbins,9235,2008,2012
Steele Creek,39513,2008,2012
Sterling,35725,2008,2012
Stevens Village,13320,2008,2012
Stony River,3240,2008,2012
Sunrise,,2008,2012
Susitna,47217,2008,2012
Susitna North,23923,2008,2012
Sutton-Alpine,17542,2008,2012
Takotna,8070,2008,2012
Talkeetna,21567,2008,2012
Tanacross,13039,2008,2012
Tanaina,25853,2008,2012
Tanana,21133,2008,2012
Tatitlek,17381,2008,2012
Tazlina,33618,2008,2012
Teller,11058,2008,2012
Tenakee Springs,34070,2008,2012
Tetlin,11789,2008,2012
Thorne Bay,31877,2008,2012
Togiak,12049,2008,2012
Tok,22754,2008,2012
Toksook Bay,15420,2008,2012
Tolsona,,2008,2012
Tonsina,37824,2008,2012
Trapper Creek,18777,2008,2012
Tuluksak,7030,2008,2012
Tuntutuliak,10138,2008,2012
Tununak,9351,2008,2012
Twin Hills,13860,2008,2012
Two Rivers,54106,2008,2012
Tyonek,21730,2008,2012
Ugashik,38441,2008,2012
Unalakleet,21040,2008,2012
Unalaska,31578,2008,2012
Upper Kalskag,14818,2008,2012
Valdez,36609,2008,2012
Venetie,12037,2008,2012
Wainwright,19838,2008,2012
Wales,10904,2008,2012
Wasilla,29085,2008,2012
Whale Pass,21161,2008,2012
White Mountain,19258,2008,2012
Whitestone,40666,2008,2012
Whitestone Logging Camp,13059,2008,2012
Whittier,31624,2008,2012
Willow,28820,2008,2012
Willow Creek,11460,2008,2012
Wiseman,,2008,2012
Womens Bay,34456,2008,2012
Wrangell,28267,2008,2012
Yakutat,33326,2008,2012
Alaska,32651,2009,2013
Aleutians East Borough,26535,2009,2013
Aleutians West Census Area,31790,2009,2013
Anchorage,36214,2009,2013
Bethel Census Area,18497,2009,2013
Bristol Bay Borough,37024,2009,2013
Denali Borough,35295,2009,2013
Dillingham Census Area,21498,2009,2013
Fairbanks North Star Borough,32143,2009,2013
Haines Borough,31096,2009,2013
Hoonah-Angoon Census Area,28806,2009,2013
Juneau,37558,2009,2013
Kenai Peninsula Borough,31256,2009,2013
Ketchikan Gateway Borough,31589,2009,2013
Kodiak Island Borough,28562,2009,2013
Lake and Peninsula Borough,21616,2009,2013
Matanuska-Susitna Borough,29534,2009,2013
Nome Census Area,20271,2009,2013
North Slope Borough,46457,2009,2013
Northwest Arctic Borough,21461,2009,2013
Petersburg Census Area,34183,2009,2013
Prince of Wales-Hyder Census Area,24581,2009,2013
Sitka,32521,2009,2013
Skagway,37139,2009,2013
Southeast Fairbanks Census Area,29437,2009,2013
Valdez-Cordova Census Area,32579,2009,2013
Kusilvak Census Area,11210,2009,2013
Wrangell,28474,2009,2013
Yakutat,34317,2009,2013
Yukon-Koyukuk Census Area,19729,2009,2013
Adak,34871,2009,2013
Akhiok,8012,2009,2013
Akiachak,13859,2009,2013
Akiak,11608,2009,2013
Akutan,25370,2009,2013
Alakanuk,10063,2009,2013
Alatna,,2009,2013
Alcan Border,,2009,2013
Aleknagik,19200,2009,2013
Aleneva,,2009,2013
Allakaket,12859,2009,2013
Ambler,13444,2009,2013
Anaktuvuk Pass,18487,2009,2013
Anchor Point,27745,2009,2013
Anchorage,36214,2009,2013
Anderson,44005,2009,2013
Angoon,30101,2009,2013
Aniak,19614,2009,2013
Anvik,11540,2009,2013
Arctic Village,15769,2009,2013
Atka,26397,2009,2013
Atmautluak,13606,2009,2013
Atqasuk,18036,2009,2013
Attu Station,,2009,2013
Badger,30576,2009,2013
Utqiagvik,30324,2009,2013
Bear Creek,29180,2009,2013
Beaver,13997,2009,2013
Beluga,13714,2009,2013
Bethel,29968,2009,2013
Bettles,43884,2009,2013
Big Delta,23059,2009,2013
Big Lake,27916,2009,2013
Birch Creek,8792,2009,2013
Brevig Mission,8389,2009,2013
Buckland,11489,2009,2013
Buffalo Soapstone,31950,2009,2013
Butte,31695,2009,2013
Cantwell,28576,2009,2013
Central,25522,2009,2013
Chalkyitsik,12628,2009,2013
Chase,,2009,2013
Chefornak,10537,2009,2013
Chena Ridge,45198,2009,2013
Chenega,13187,2009,2013
Chevak,9888,2009,2013
Chickaloon,30560,2009,2013
Chicken,,2009,2013
Chignik Lagoon,49068,2009,2013
Chignik Lake,23418,2009,2013
Chignik,25960,2009,2013
Chiniak,,2009,2013
Chisana,,2009,2013
Chistochina,21100,2009,2013
Chitina,22444,2009,2013
Chuathbaluk,15424,2009,2013
Circle,12747,2009,2013
Clam Gulch,32322,2009,2013
Clark's Point,8596,2009,2013
Coffman Cove,26055,2009,2013
Cohoe,28249,2009,2013
Cold Bay,41585,2009,2013
Coldfoot,,2009,2013
College,32065,2009,2013
Cooper Landing,36362,2009,2013
Copper Center,22786,2009,2013
Cordova,37992,2009,2013
Covenant Life,22059,2009,2013
