source: https://gis.data.alaska.gov/datasets/fa3ad93528b24f7c9ba298a68c04920d_0/explore,,,
Place,e_Pop_Total,Start_Year,End_Year
Twin Hills,70,2008,2012
Two Rivers,266,2008,2012
Tyonek,291,2008,2012
Ugashik,27,2008,2012
Unalakleet,739,2008,2012
Unalaska,4262,2008,2012
Upper Kalskag,228,2008,2012
Valdez,3962,2008,2012
Venetie,154,2008,2012
Wainwright,645,2008,2012
Wales,108,2008,2012
Wasilla,7942,2008,2012
Whale Pass,38,2008,2012
White Mountain,164,2008,2012
Whitestone,170,2008,2012
Whitestone Logging Camp,66,2008,2012
Whittier,222,2008,2012
Willow,2019,2008,2012
Willow Creek,57,2008,2012
Wiseman,0,2008,2012
Womens Bay,727,2008,2012
Wrangell,2368,2008,2012
Yakutat,570,2008,2012
Alaska,720316,2009,2013
Aleutians East Borough,3141,2009,2013
Aleutians West Census Area,5538,2009,2013
Anchorage,295237,2009,2013
Bethel Census Area,17356,2009,2013
Bristol Bay Borough,933,2009,2013
Denali Borough,2020,2009,2013
Dillingham Census Area,4923,2009,2013
Fairbanks North Star Borough,98656,2009,2013
Haines Borough,2546,2009,2013
Hoonah-Angoon Census Area,2141,2009,2013
Juneau,31897,2009,2013
Kenai Peninsula Borough,56163,2009,2013
Ketchikan Gateway Borough,13595,2009,2013
Kodiak Island Borough,13850,2009,2013
Lake and Peninsula Borough,1454,2009,2013
Matanuska-Susitna Borough,91519,2009,2013
Nome Census Area,9695,2009,2013
North Slope Borough,9484,2009,2013
Northwest Arctic Borough,7624,2009,2013
Petersburg Census Area,3806,2009,2013
Prince of Wales-Hyder Census Area,5672,2009,2013
Sitka,8945,2009,2013
Skagway,1080,2009,2013
Southeast Fairbanks Census Area,7047,2009,2013
Valdez-Cordova Census Area,9682,2009,2013
Kusilvak Census Area,7678,2009,2013
Wrangell,2371,2009,2013
Yakutat,607,2009,2013
Yukon-Koyukuk Census Area,5656,2009,2013
Adak,108,2009,2013
Akhiok,167,2009,2013
Akiachak,606,2009,2013
Akiak,392,2009,2013
Akutan,932,2009,2013
Alakanuk,675,2009,2013
Alatna,1,2009,2013
Alcan Border,28,2009,2013
Aleknagik,208,2009,2013
Aleneva,64,2009,2013
Allakaket,66,2009,2013
Ambler,290,2009,2013
Anaktuvuk Pass,304,2009,2013
Anchor Point,2204,2009,2013
Anchorage,295237,2009,2013
Anderson,287,2009,2013
Angoon,447,2009,2013
Aniak,546,2009,2013
Anvik,99,2009,2013
Arctic Village,127,2009,2013
Atka,60,2009,2013
Atmautluak,295,2009,2013
Atqasuk,276,2009,2013
Attu Station,13,2009,2013
Badger,20995,2009,2013
Utqiagvik,4280,2009,2013
Bear Creek,1933,2009,2013
Beaver,98,2009,2013
Beluga,7,2009,2013
Bethel,6197,2009,2013
Bettles,19,2009,2013
Big Delta,652,2009,2013
Big Lake,4018,2009,2013
Birch Creek,12,2009,2013
Brevig Mission,407,2009,2013
Buckland,577,2009,2013
Buffalo Soapstone,892,2009,2013
Butte,3519,2009,2013
Cantwell,195,2009,2013
Central,107,2009,2013
Chalkyitsik,65,2009,2013
Chase,14,2009,2013
Chefornak,493,2009,2013
Chena Ridge,6260,2009,2013
Chenega,84,2009,2013
Chevak,1062,2009,2013
Chickaloon,238,2009,2013
Chicken,0,2009,2013
Chignik Lagoon,72,2009,2013
